id,transliteration,translation
0,a-šu-um KÙ.GI ša wa-ar-di-ni a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the gold that our slave sent to the palace, I have heard about it here."
1,iš-tù a-lim(ki) a-na É.GAL-lim a-li-ik-ma TÚG.HI.A ba-qí-ir,Go from the City to the palace and claim the textiles.
2,ru-ba-im me-et ú ni-kà-sú-šu sà-ah-ú,"The king is dead, and his accounts are in a mess."
3,1 GÍN TÚG.HI.A i-na bu-ru-uš-ha-tum a-na wa-ar-di-ni áš-qúl,I paid 1 shekel of textiles to our slave in Burushhattum.
4,um-ma ši-ip-ri-ni-ma a-na da-a-a-nu-um qí-bi-ma,Thus says our messenger: Speak to the judge:
5,iš-tù ha-hi-im a-na É.GAL-lim a-li-ik-ma KÙ.GI ba-qí-ir,Go from Hahhum to the palace and claim the gold.
6,a-šu-um ṭup-pám ša DAM.GÀR a-na bu-ru-uš-ha-tum u-šé-bi-lu a-na-kam áš-me,"Concerning the tablet that merchant sent to Burushhattum, I have heard about it here."
7,ṭup-pám ša wa-ar-di-ni a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of our slave and send the sealed document.
8,ṭup-pám ša ru-ba-im a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of the king and send the silver.
9,a-wi-lúm a-wi-lam i-na ha-hi-im ú-kà-al,One man is holding the other in Hahhum.
10,2 bi-lá-tim URUDU dam-qám i-na bu-ru-uš-ha-tum a-na a-wi-lim áš-qúl,I paid 2 talents of fine copper to the boss in Burushhattum.
11,ki-ma Pú-zur4-A-šur me-tù-ni a-ha-tí-kà AN.NA i-ki-mu-ni,"When Puzur-Ashur died, your sister deprived me of the tin."
12,a-wi-lúm a-wi-lam i-na bu-ru-uš-ha-tum ú-kà-al,One man is holding the other in Burushhattum.
13,ši-ip-ri-ni me-et ú ni-kà-sú-šu sà-ah-ú,"Our messenger is dead, and his accounts are in a mess."
14,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma ma-ṣa-ru ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and the guards will take the deduction-taxes."
15,a-ma-kam <gap> ša-e-il5-ma té-er-ta-kà li-li-kam,Question <gap> there and let your instruction come to me.
16,lu-qú-tum a-na a-lim(ki) e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered the City, and the merchant will take the deduction-taxes."
17,a-na ma-ṣa-ru qí-bi-ma um-ma a-hu-a-ma,Speak to the guards: thus says my brother.
18,ṭup-pám ša <gap> a-mur-ma kà-ni-kám šé-bi-lam,Examine the tablet of <gap> and send the sealed document.
19,um-ma da-a-a-nu-um-ma a-na ma-ṣa-ru qí-bi-ma,Thus says the judge: Speak to the guards:
20,10 ma-na ŠE a-na ši-ip-ri-ni di-in-ma šé-bi-lam,Give 10 minas of grain to our messenger and send it to me.
21,<gap> a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"<gap> was overwhelmed by his debts, and he fled."
22,tí-ib-ma a-lik-ma KÙ.BABBAR ša-áṣ-bi-sú,"Arise, go, and make him deposit the silver."
23,2 bi-lá-tim AN.NA i-na wa-ah-šu-ša-na a-na DAM.GÀR áš-qúl,I paid 2 talents of tin to the merchant in Wahshushana.
24,a-šu-um kà-ni-kám ša <gap> a-na a-lim(ki) u-šé-bi-lu a-na-kam áš-me,"Concerning the sealed document that <gap> sent to the City, I have heard about it here."
25,šu-ma a-hu-a URUDU dam-qám lá u-šé-bi-lam a-na kà-ri-im a-ša-par,"If my brother does not send the fine copper to me, I will write to the colony."
26,a-na a-wi-lim qí-bi-ma um-ma a-ha-tí-kà-ma,Speak to the boss: thus says your sister.
27,ki-ma a-hu-a me-tù-ni DAM.GÀR kà-ni-kám i-ki-mu-ni,"When my brother died, the merchant deprived me of the sealed document."
28,a-na <gap> qí-bi-ma um-ma a-hu-a-ma,Speak to <gap>: thus says my brother.
29,iš-tù kà-ni-iš a-na a-lim(ki) a-li-ik-ma URUDU dam-qám ba-qí-ir,Go from Kanesh to the City and claim the fine copper.
30,ṭup-pám ša DAM.GÀR a-mur-ma <gap> šé-bi-lam,Examine the tablet of the merchant and send the <gap>.
31,2 bi-lá-tim <gap> a-na A-šur-na-da di-in-ma šé-bi-lam,Give 2 talents of <gap> to Ashur-nada and send it to me.
32,1 ma-na kà-ni-kám i-na kà-ri-im a-na ši-ip-ri-ni áš-qúl,I paid 1 mina of the sealed document to our messenger in the colony.
33,Pú-zur4-A-šur me-et ú ni-kà-sú-šu sà-ah-ú,"Puzur-ashur is dead, and his accounts are in a mess."
34,1 ma-na KÙ.BABBAR i-na kà-ri-im a-na ru-ba-im áš-qúl,I paid 1 mina of silver to the king in the colony.
35,a-šu-um AN.NA ša A-šur-na-da a-na wa-ah-šu-ša-na u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that Ashur-nada sent to Wahshushana, I have heard about it here."
36,A-šur-na-da a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"Ashur-nada was overwhelmed by his debts, and he fled."
37,1/3 ma-na TÚG.HI.A a-na a-wi-lim di-in-ma šé-bi-lam,Give one-third of a mina of textiles to the boss and send it to me.
38,a-na <gap> qí-bi-ma um-ma wa-ar-di-ni-ma,Speak to <gap>: thus says our slave.
39,a-wi-lúm a-wi-lam i-na É.GAL-lim ú-kà-al,One man is holding the other in the palace.
40,1 GÍN lu-qú-tám a-na um-mì-a di-in-ma šé-bi-lam,Give 1 shekel of merchandise to my mother and send it to me.
41,1 GÍN KÙ.GI a-na ru-ba-im di-in-ma šé-bi-lam,Give 1 shekel of gold to the king and send it to me.
42,a-wi-lúm a-wi-lam i-na kà-ni-iš ú-kà-al,One man is holding the other in Kanesh.
43,šu-ma Pú-zur4-A-šur kà-ni-kám lá u-šé-bi-lam a-na ha-hi-im a-ša-par,"If Puzur-Ashur does not send the sealed document to me, I will write to Hahhum."
44,lu-qú-tum a-na <gap> e-ru-ub-ma A-šur-na-da ni-is-ha-tum i-lá-qé,"The merchandise entered <gap>, and Ashur-nada will take the deduction-taxes."
45,1 me-at URUDU dam-qám i-na wa-ah-šu-ša-na a-na a-bi-a áš-qúl,I paid 100 units of fine copper to my father in Wahshushana.
46,a-ma-kam a-bi-a ša-e-il5-ma té-er-ta-kà li-li-kam,Question my father there and let your instruction come to me.
47,a-na a-hu-a šu-a-tí lá ta-ta-kà-al KÙ.GI i-kà-al,"Do not trust that my brother, he will embezzle the gold."
48,ṭup-pám ša DAM.GÀR a-mur-ma KÙ.BABBAR šé-bi-lam,Examine the tablet of the merchant and send the silver.
49,a-šu-um ŠE ša um-mì-a a-na É.GAL-lim u-šé-bi-lu a-na-kam áš-me,"Concerning the grain that my mother sent to the palace, I have heard about it here."
50,a-šu-um AN.NA ša a-ha-tí-kà a-na É DAM.GÀR u-šé-bi-lu a-na-kam áš-me,"Concerning the tin that your sister sent to the merchant's house, I have heard about it here."
51,1/3 ma-na ŠE a-na ma-ṣa-ru di-in-ma šé-bi-lam,Give one-third of a mina of grain to the guards and send it to me.
52,lu-qú-tum a-na É DAM.GÀR e-ru-ub-ma a-ha-tí-kà ni-is-ha-tum i-lá-qé,"The merchandise entered the merchant's house, and your sister will take the deduction-taxes."
53,ṭup-pám ša ši-ip-ri-ni a-mur-ma URUDU dam-qám šé-bi-lam,Examine the tablet of our messenger and send the fine copper.
54,iš-tù É DAM.GÀR a-na kà-ri-im a-li-ik-ma KÙ.BABBAR ba-qí-ir,Go from the merchant's house to the colony and claim the silver.
55,um-ma kà-ru-um wa-ah-šu-ša-na-ma a-na ru-ba-im qí-bi-ma,Thus says the Wahshushana colony: Speak to the king:
56,šu-ma Pú-zur4-A-šur AN.NA lá u-šé-bi-lam a-na wa-ah-šu-ša-na a-ša-par,"If Puzur-Ashur does not send the tin to me, I will write to Wahshushana."
57,um-ma ši-ip-ri-ni-ma a-na DAM.GÀR qí-bi-ma,Thus says our messenger: Speak to the merchant:
58,um-ma DAM.GÀR-ma a-na a-hu-a ú um-mì-a qí-bi-ma,Thus says the merchant: Speak to my brother and my mother:
59,iš-tù a-lim(ki) a-na wa-ah-šu-ša-na a-li-ik-ma lu-qú-tám ba-qí-ir,Go from the City to Wahshushana and claim the merchandise.
60,ki-ma a-bi-a me-tù-ni wa-ar-di-ni KÙ.GI i-ki-mu-ni,"When my father died, our slave deprived me of the gold."
61,a-ha-tí-kà a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"Your sister was overwhelmed by his debts, and he fled."
62,um-ma kà-ru-um a-lim(ki)-ma a-na A-šur-na-da qí-bi-ma,Thus says the City colony: Speak to Ashur-nada:
63,lu-qú-tum a-na kà-ri-im e-ru-ub-ma DAM.GÀR ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and the merchant will take the deduction-taxes."
64,1 GÍN ṭup-pám a-na um-mì-a di-in-ma šé-bi-lam,Give 1 shekel of the tablet to my mother and send it to me.
65,iš-tù kà-ni-iš a-na É.GAL-lim a-li-ik-ma KÙ.GI ba-qí-ir,Go from Kanesh to the palace and claim the gold.
66,a-ma-kam wa-ar-di-ni ša-e-il5-ma té-er-ta-kà li-li-kam,Question our slave there and let your instruction come to me.
67,lu-qú-tum a-na kà-ri-im e-ru-ub-ma ru-ba-im ni-is-ha-tum i-lá-qé,"The merchandise entered the colony, and the king will take the deduction-taxes."
68,2 bi-lá-tim TÚG.HI.A i-na bu-ru-uš-ha-tum a-na DAM.GÀR áš-qúl,I paid 2 talents of textiles to the merchant in Burushhattum.
69,um-ma wa-ar-di-ni-ma a-na ma-ṣa-ru qí-bi-ma,Thus says our slave: Speak to the guards:
70,ki-ma Pú-zur4-A-šur me-tù-ni A-šur-na-da ŠE i-ki-mu-ni,"When Puzur-Ashur died, Ashur-nada deprived me of the grain."
71,ki-ma um-mì-a me-tù-ni Pú-zur4-A-šur KÙ.GI i-ki-mu-ni,"When my mother died, Puzur-Ashur deprived me of the gold."
72,um-ma a-ha-tí-kà-ma a-na da-a-a-nu-um ú a-wi-lim qí-bi-ma,Thus says your sister: Speak to the judge and the boss:
73,DAM.GÀR a-na hu-bu-li-šu i-ta-wa-ar-ma in-ta-bi-it,"The merchant was overwhelmed by his debts, and he fled."
