tablet_id,transliteration,translation
1. Kt 91/k 347,2 GÚ 40 ma-na KÙ.B. 5 li-me ŠE-um 30 DUG ù 40 DUG : ba-áb-tám i-na a-lim{ki} : 10 šu-ba-tim qá-qí-[r]i : É-tám : ep-ša-/am É *Dí-⌈la⌉?-a : 60 TÚG.HI.A e-pí-š[u] ša-na-tim sí-pá-⌈r⌉*i : ú sú-ub*-ra-am ša É a-bi-ni : zu-a-za-am qá-bi-a-ni-ni : a-na a-i-tim : ba-lu-a ta-ak-bu-ús um-ma A-lá-hu-um-ma a-šu-mì e-li-tí-a ù e-li-tí-kà la ha-a-ṭim ak-bu-ús um-ma E-la-ma-ma e-li-tí-ma-mì-in lu-bi-il-ma : i-na É a-bi-a : zi-tí : lá-zu-úz-ma KÙ.GI 1 GÚ : a-na u₄-mì-im a-nim : kà-áš-da-ku-mì-in ki-ma ik-bu-saʾ-ni-ni ša ni-iš : a-lim{ki} ta-mu-ú : lu ú-kà-al IGI E-dí-na-a IGI En-um-A-šùr,"Two talents and 40 minas of silver, 5000 measures of barley, 30 jars plus 40 jars outstanding claims; in the City a plot of 10 šubštum, a built house, the house of Dilaya(?); 60 textiles, rugs, pitchers, bronze objects and slaves - (are) the estate of our father which we have promised / been ordered to divide. Why have you suppressed (it) without me? Ali-ahum answered: ŠIn order to prevent my and your extra share from being inspected I have suppressed it."" Elamma answered: ŠIf only I could have taken along my own extra share and had obtained my share in my father's estate, then by this day I would have had at my disposal one talent of goldš That he repressed me, I wish to retain as Ša statement) made with an oath by the Cityš” In the presence of Eddinšya, and of Ennum-AŠṭur."
2. Kt 91/k 482 (1-335-91),2 1/2 ma-na GUŠKIN I-li-a 2 ma-na A-la-hu-um 2 ma-na āu-La-ba-an 1 1/3 ma-na Ku-ni-la DUMU.MUNUS En-nam-A-šùr 1 2/3 ma-na DAM.GÀR-ru-um 1 ma-na 12 GÍN A-la-hu-um ù E-la-ma 1 ma-na 12 GÍN A-mur-IŠtar ŠEŠ-šu 1 ma-na ša na-ru-uq A-mur-/IŠtar 1 ma-na 12 GÍN ša-li-sú 1 1/2 ma-na ša na-ru-qí-šu Hi-na-a 3 ' ma-na DAM.GÀR-ru-um 3 ma-na DAM.GÀR-ru-um 2 ma-na DAM.GÀR-ru-um 3 2/3 ma-na 5 GÍN E-lá-/ma ŠU.NIGIN 27 5/6 ma-na 1 GÍN GUŠKIN na-ru-uq E-lá-ma e-ra-áb i-na nè-mì-lim ša-al-ša-tim e-kà-al a-na ša-al-ša-tim i-za-az a-na MU.10.ŠÈ ni-kà-sí i-da-an ša i-lá u₄-me-šu ma-al-ú-tim ší-ip-kà-tí-/šu e-ri-šu 4 ma-na.TA i-lá-qé 1 li-im 5 me-at ŠE 2 sú-ub-ru-um zi-tum lu ku-ur-sí-na/tum mì-ma a-nim ša-al-ṭí li-mu-um Ib-ni-{d}IŠKUR DUMU Ba-qú-ni-im,"2 ā mins of gold Iliya, 2 minas Ali-ahum, 2 minas šu-Labšn, 1 1/3 mina Kunila, daughter of Ennam-AŠṭur, 1 2/3 mina tamkšrum, 1 mina 12 shekels Ali-ahum and Elamma, 1 mina 12 shekels his brother Amur-IŠtar, 1 mina of the naruqqum of Amur-IŠtar, 1 mina 12 shekels his cash funds, 1 ā mina of his naruqqum Hinnšya, 3 ā minas tamkšrum, 3 minas tamkšrum, 2 minas tamkšrum, 3 ' minas Elamma - in all 27 5/6 minas 1 shekel of gold enters the joint-stock fund of Elamma. Of the profit he will enjoy one third, one third he will guarantee. In 10 years he will render account. Who asks for his investment before its due date will receive 4 minas per Šmina of gold). 1500 measures of barley, 2 slaves, the share Šin the inheritance) and Šwhat is in) the various ‘pots’ - all this is my available capital. Eponymy of Ibni-Adad, son of Baqqunum."
3. Kt 91/k 355,um-ma I-li-a A-šur-re-(í En-nam-A-šur ù Da-dí-a-/ma a-na E-la-ma qí-bi₄-ma 5/6 ma-na LÁ 2 GÍN KÙ.B. ša KÙ A-la₁-hi-im ša li-bi₄ na-ru-qí-/kà ni-il₅-qé-a-šu-ma : ší-ma-am ni-iš-a-ma : Ku-na-a : ú-šé-bi₄-lá(A)-/kum 1 ma-na KÙ.GI ša a-na A-lá-hi-im a-ta ša-áp-kà-tí-ni 1 2/3 ma-na KÙ.B. ni-il₅-qé-ma ší-ma-am ni-iš-a-ma A-šur-lá-ma-sí ú-šé-ri-a-kum 1/3 ma-na KÙ.B. ša ší-im ANŠE.HI.A ša a-na A-lá-hi-im tù-šé-bi₄-lá-ni a-na li-bi₄ lu-qú-tí-kà na-dí En-nam-A-šur ù āu-IŠtar DUMU Da-da-nim ú-šé-([í?]-ú-ni-kum 20 ma-na URUDU iš-tí DINGIR-ba-ni 8 ma-na URUDU iš-tí *Ah-ma-a ni-il₅-qé-ma 4 TÚG šu-ru-tim ni-iš-a-ma En-nam-A-šur ù āu-IŠtar DUMU Da-da-nim ub-lu-ni-kum a-šu-mì KÙ.B. ša É A.BA ša na-ru-uq A-la₁-hi-im ša ta-áš-pu-ra-ni qá-at-kà ù qá-sú ša A-la₁-hi-im A-šur-DÙG il₅-qé ší-ma-am iš-a-ma ú-šé-(í né-nu mì-ma ú-lá ni-il₅-qé,"Thus Iliya, AŠṭur-r)(ē, Ennam-AŠṭur and Dadiya, say to Elamma: “48 shekels of silver, which is silver of Ali-ahum that is part of your joint-stock fund, we took it and made purchases with it and Kunnaya has sent them to you. (As for) the 1 mina of gold you yourself have invested with Ali-ahum, we collected 1 2/3 mina of silver and made purchases and AŠṭur-lamassē has brought them to you. 1/3 mina of silver of the price of the the donkeys you sent to Ali-ahum has been added to your merchandise; Ennam-AŠṭur and šu-IŠtar, son of Dadšnum, have shipped it off to you. We collected 20 minas of copper from Ilē-bšni and 8 minas of copper from Ahmaya and we bought Šwith it) dark textiles; Ennam-AŠṭur and šu-IŠtar, son of Dadšnum, have brought it to you. As for the silver of the paternal house that is (in) the joint-stock capital of Ali-ahum, about which you wrote – AŠṭur-*šb took your and Ali-ahum’s part (and) he made purchases Šwith it) and shipped them off. We ourselves did not receive/take anything."
4. Kt 91/k 332 (1-189-91),1 ma-na KÙ.GI i-na na-ru-qí-šu ša A-la-hi-im ni-a-/im ad-ma-ku 4 ma-na LÁ 10 GÍN KÙ.B. Ša-ru-pá-am i-a-am A-šùr-ma-lik DUMU A-šùr-{d}UTU ki-ma i-a-tí a-na Hi-na-a ú-šé-bi₄-il₅-ma ù i-na té-er-tí-a um-ma a-na-ku-ma a-na ⌈Hi⌉-na-a-ma a-na ⌈na⌉-ru-qí-kà le-⌈qé⌉-šu-ma KÙ.GI lu-up-<ta>-am 1 ma-na KÙ.GI ad-ma-ak-šu-/um,"1 mina of gold I have as investment share in the joint-stock capital of our Ali-ahum. 3 minas and 50 shekels of refined silver, belonging to myself, I had AŠṭur-mšlik, son of AŠṭur-ṭamṭē, in my name bring to Hinnšya and then I also told Hinnšya in my instruction: ŠTake it for your joint-stock capital and book the gold as being mineš. I have now an investment share with him of 1 mina of gold."
5. Kt 91/k 361 (1-218-91),2 ma-na 8 GÍN KÙ.B. E-lá-ma ù āa-lim-a-hu-um 1' ma-na 3' GÍN E-lá-ma i-na ILLAT Id-na-a : Ì-lí-a-lim ù A-šùr-i-dí i-na É.GAL-lim na-ad-ú 4) ma-na E-lá-ma ù A-la₁-hu-um i-na ILLAT Lá-qé-ep DUMU Qá-a-tim na-ad-ú 2' ma-na 8 GÍN E-lá-ma Hi-na-a ù A-šùr-kà-ší-id i-na ILLAT āu-A-nim ad-mu-ú 15* GÍN E-lá-ma i-na ILLAT A-lá-hi-im ù Bu-(í-a a-dí-im 2 ma-na 8 GÍN E-lá-ma i-na ILLAT A-zu-za ù A-šùr-iš-tí-kál a-dí-im 4 ma-na LÁ 2 GÍN i-na ILLAT Pu-šu-ke-en₆ ad-ma-ku a-ha-ma 13 GÍN i-qá-tí Lá-qé-ep a-lá-qé ša 3 LÁ * TÚG ku-ta-nim 5/6 ma-na 5 GÍN KÙ.B. i-na ILLAT-at En-um-A-šùr DUMU Ba-sá-sá ù {d}En-líl-ba-ni i-na É.GAL-lim E-lá-ma a-dí-im,"2 minas 8 shekels of silver (of) Elamma and šalim-ahum, 33ā shekels Šof silver) of Elamma from the caravan of Idnaya, Ilē-šlum and AŠṭur-idē have deposited in the palace. 4, minas Elamma and Ali-ahum have deposited in the caravan of LŠ-q)p, son of Qa’atum. 2 minas 38 shekels Šof silver) Elamma, Hinnšya and AŠṭur-kaṭid have as share in the caravan of šu-Anum. 15- shekels Elamma has as share in the caravan of Ali-ahum and Bu(iya. 2 minas 8 shekels Elamma has as share in the caravan of Azuza and Iliṭ-tikal. 4 minas minus 2 shekels I have as share in the caravan of PŠṭu-k)n. Separately I will receive 13 shekels from the part of LŠ-q)p. For 2' kutšnu-textiles Elamma is entitled to 55 shekels of silver in the palace from the caravan of Ennam-AŠṭur, son of Basasa, and from Enlil-bšni."
6. Kt 91/k 533 (1-385-91),"um-ma E-lá-ma-ma a-na A-šur-re-(í-ma a-na I-li-a ù ku-wa-tí A-lá-hu-um ú a-na-ku ni-iš-pu-ra-ku-nu-tí um-ma né-nu-ma : i-na lu-qú-tim ša É a-bi₄-ni ki-iš-da-tí-ni ší-ma-am ša-ma-nim-ma a-na Šé-er A-lá-hi-im ú i-a-tí šé-bi₄-lá-nim mì-šu-um ší-ma-am lá ta-áš-[ta-ma-nim] Šrest of obv., l.e. rev. missing) [ ] um-ma A-šur-re-(í-ma a-ma-lá té-er-tí A-lá-hi-im [x x x t]ám i-na ba-áb : x [x x x]","Thus Elamma, <say> to AŠṭur-r)(ē: Ali-ahum and I myself we wrote a letter to Iliya and to you in which we said: ‘Make purchases with what accrues to us as Šthe yield of) the merchandise of our paternal house and send them to Ali-ahum and me’. Why have you failed to make purchases? AŠṭur-r)(ē told (me): ŠIn accordance with Ali-ahum’s instruction .........in the gate ......"
7. Kt 91/k 294 (1-151-91),ma-na KÙ.⌈B.⌉ ma-na KÙ.B. GÍN KÙ.KI š[a Lá]-ma-sí-t[im],"minas of silver, 2 minas of silver belonging 15 shekels of gold of Lamassutum"
8. Kt 91/k 302,8-11 erased. ma-na KÙ.B. ni-is-ha-sú [ 'u-Hu-/⌈bur⌉ GÍN KÙ.B. a-na Um-mì-IŠ-ha-ra GÍN KÙ.B. a-na Bu-ṣú-a GÍN KÙ.B. Sà-sí-a GÍN KÙ.B. Lá-qé-pu-um [ IŠ-ha-/ra ma-na 8 GÍN KÙ.B. ša-du-/a-sú,"minas of silver, its excise [ ēu-Hubur, 5 shekels of silver for Ummṣ-IŠhara, 1 shekel of silver for Bu(ua - 3 shekels of silver Sāsiya (and) 3 shekels of silver La-qṭpum, son of 17 minas 8 shekels of silver, its transport"
9. Kt 91/k 316,né-pí-šu-um 10 ma-na ma-na KÙ.B. a-ha-ma ri-ik-sú-um ri-ik-súm ( ma-na 5 / GÍN ri-ik-súm GÍN a-na,"1 packet of 10 minas of silver, Separately 5 minas of silver, for me. One bundle Šof silver), (containing) 35 shekels Šof silver), one bundle containing 13 shekels Šof silver) for"
10. Kt 91/k 353 (1-210-91),ma-na KÙ.B. ṣa-[ru-pá-am] ma-na KÙ.B. ni-is-h[a-sú DIRI] ma-na KÙ.B. ṣa-ru-pá-am [ MAR.T[U-ba-ni] GÍN KÙ.B. ⌈a⌉-na qá-tí-šu a-[dí-in] GÍN ša da-[a-tim?] GÍN KÙ.B. a-na ⌈'u-x⌉*[x (x)] GÍN KÙ.B. ni-is-ha-sú DIR[I] [ tí-šu] GÍN KÙ.B. šé-bu-[ul-tum] GÍN KÙ.B. ša [ x x x (x)] a-na Um-mì-IŠ-[ha-ra] [ Um-mì-IŠ-ha-ra GÍN KÙ.B. a-na Be-lu-lu 1 GÍN KÙ.B. [ a-na Na-ar-am-/tim GÍN KÙ.B. a-na Bu-ṣú-ú ( GÍN [ KÙ.B. a-na [ a-lim{ki} ú-bi-il₅,"minas of refined silver, 15 minas of silver, its excise added, 30 minas of refined silver, its [ Amurrum-bāni; 3 shekels of silver I gave for his expenses. 10 shekels for the road-tax 7 shekels of silver for ēu-.......... 10 shekels of silver, its excise added, [ tiles of his] 10 shekels of silver, consignment 4 shekels of silver of [..............] for Ummṣ-IŠhara; [ Ummṣ-IŠhara; 1 shekel of silver for BŠlulu; 1 shekel of [ silver for Nar’amtum; 1 shekel of silver for Bu(š; ' shekel of [ silver for it away to the City."
