oa,english
"6 ma-na KÙ.B. ṣa-ru-pá-am","6 minas of refined silver,"
"6 GÍN ša-du-a-sú","6 shekels his transport-fee,"
"ša E-la-ma","belonging to Elamma"
"a-na Puzur-A-na","I entrusted to Puzur-Anna,"
"DUMU A-šur-dan áp-qí-id","the son of Aššur-dān."
"IGI A-šur-na-da(ID)","In the presence of Aššur-nādā,"
"DUMU A-šur-i-dí IGI Zu-ba","son of Aššur-idī, and of Zuba."
"ší-im AN-NA-ki-kà","(It is) the price of your tin"
"1 GÚ-tim","to the amount of 1 talent."
"5 ma-na KÙ.GI","5 minas of gold,"
"ni-is-ha-sú DIRIG","its excise added extra"
"ú ša-du-a-sú <ša-bu>","and its transport-fee <paid>,"
"ša Zu-ba Puzur-A-na","belonging to Zuba, Puzur-Anna"
"a-na ší-a-ma-tim","brought away for making"
"ú-bi?-il GÁN-lam","purchases. It will travel overland"
"a-na-nu-um ù a-lá-nu-um","in both directions"
"a-šú-mì-<šú>-nu-ma i-tí-iq","at their expense, (for)"
"KÙ ša qí-ip-tí-šu-nu","it is money of their trust."
"IGI A-šùr-na-da(ID)","In the presence of Aššur-nādā,"
"DUMU A-šur-i-dí","son of Aššur-idī,"
"IGI Ás-qú-dim","and of Asqūdum."
"IGI A-mur-UTU","by Amur-Šamaš,"
"IGI E-ze-e","by Ezē."
"šu-ma ú-da-pí-ir","If he disappears"
"1 GÍN.TA: i-na ITU./KAM","he will add 1 shekel of silver"
"ú-ṣa-áb","as interest per month."
"1/3 ma-na 5 GÍN","25 shekels of"
"KÙ.B. ṣa-ru-pá-am","refined silver"
"Ga-al-dá-a","Galdaya"
"ša E-la-ma","of Elamma"
"<<ša E-lá-ma>>","<<of Elamma>>"
"i-be-i-el","will manage."
"KI KÙ.B.-pí-im","He is held in service"
"uk-ta-al","with the silver."
"IGI Lá-qé-pì-im","Witnessed by Lā-qēpum,"
"1½ ma-na 2 [GÍN] i-ṭup-pi-im lá-pi-it","For 1 mina 32 shekels he has been registered on the tablet."
"1 5/6 ma-na a-qá-ti-a t[a-dí]","1 5/6 mina you deposited as my share."
"ŠU.NIGIN2 3½ ma-[na] šu-mì Ku-ni-[lim] É kà-ri-im lá-pí-it","In all 3½ minas have been booked in Kūn-ilum's name in the colonial office."
"i-5 ku-ta-n[i7 T[A2]] ša É kà-ri-i[m] i-dí-ú-ni 2 [TÚG ša] Ku-ni-lúm Š[A.BA] ½ TÚG i-qá-[tí] Ku-n[i-lim] ú-ṭá-ha","Of the 5 kutānu-textiles each? that they deposited in the colonial office, 2 pieces belong to Kūn-ilum, thereof I will transfer ½ textile from Kūn-ilum's share."
"IGI Iš-ma-IŠKUR IGI Bu-za-z[u]","Witnessed by Išme-Adad, by Buzāzu."
"7¼ GÍN KÙ.B. té-ṣú-bu bi-il5-tám ik-šu-ud","The additions amounted to 7¼ shekels of silver per talent."
"14 (eras.) ma-na <gap>+8 ⅔ GÍN K[Ù.B.] š[í-i]m AN.NA TÚG.HI.A ù ANŠE.HI.A","14 minas <gap>+8⅔ shekels of silver is the price of tin, textiles and donkeys."
"i-na 1 ma-na KÙ.B. ša a-na a-lim a-[ší-a-ma]-tim Be-lá-num ú-šé-bi-lá-ni ŠÀ.BA ⅔ ma-na KÙ.B. a-na ik-ri-bi4-a ša A-šur i-lá-ak","From the 1 mina of silver which I had Bēlānum bring to the City for making purchases, ⅔ mina silver thereof will go to my ikribū belonging to Aššur."
"IGI A-šur-du-ri(RI-DU) DUMU Puzur4-Ištar","Before Aššur-dūrī, son of Puzur-Ištar."
"6 ma-na KÙ.B. ṣa-ru-pá-am 6 GÍN ša-du-a-sú ša E-la-ma a-na Puzur4-A-na DUMU A-šur-dan áp-qí-id","6 minas of refined silver, 6 shekels his transport-fee, belonging to Elamma I entrusted to Puzur-Anna, the son of Aššur-dān."
"IGI A-šur-na-da(ID) DUMU A-šur-i-dí IGI Zu-ba","In the presence of Aššur-nādā, son of Aššur-idī, and of Zuba."
"ší-im AN-NA-ki-kà 1 GÚ-tim","(It is) the price of your tin to the amount of 1 talent."
"5 ma-na KÙ.GI ni-is-ha-sú DIRIG ú ša-du-a-sú <ša-bu> ša Zu-ba Puzur4-A-na a-na ší-a-ma-tim ú-bi5-il","5 minas of gold, its excise added extra and its transport-fee <paid>, belonging to Zuba, Puzur-Anna brought away for making purchases."
"GÁN-lam a-na-nu-um ù a-lá-nu-um a-šú-mì-<šú>-nu-ma i-tí-iq KÙ ša qí-ip-tí-šu-nu","It will travel overland in both directions at their expense, (for) it is money of their trust."
"IGI A-šùr-na-da(ID) DUMU A-šur-i-dí IGI Ás-qú-dim","In the presence of Aššur-nādā, son of Aššur-idī, and of Asqūdum."
"⅓ ma-na 5 GÍN KÙ.B. ṣa-ru-pá-am Ga-al-dá-a ša E-la-ma <<ša E-lá-ma>> i-be-i-el","25 shekels of refined silver Galdaya of Elamma <<of Elamma>> will manage."
"KI KÙ.B.-pí-im uk-ta-al","He is held in service with the silver."
"IGI Lá-qé-pì-im IGI A-mur-UTU IGI E-ze-e","Witnessed by Lā-qēpum, by Amur-Šamaš, by Ezē."
"šu-ma ú-da-pí-ir 1 GÍN.TA: i-na ITU.KAM ú-ṣa-áb","If he disappears he will add 1 shekel of silver as interest per month."
