transliteration,translation
KIŠIB ma-nu-ba-lúm-a-šur DUMU ṣí-lá-{d}IM KIŠIB šu-{d}EN.LÍL DUMU ma-nu-ki-a-šur KIŠIB MAN-a-šur DUMU a-ta-a 0.33333,"Seals of Mannum-bālum-Aššur s. ?, Šū-Enlil s. ?, Puzur-Aššur s. Attaya"
ma-na 2 GÍN KÙ.BABBAR SIG5 i-ṣé-er PUZUR4-a-šur DUMU a-ta-a a-lá-ḫu-um i-šu,Puzur-Aššur s. Attaya owes Al-aḫum 1/3 mina 2 shekels fine silver.
iš-tù ḫa-muš-tim ša ì-lí-dan ITU.KAM ša ke-na-tim li-mu-um e-na-sú-in a-na ITU 14 ḫa-am-ša-tim i-ša-qal,He will pay fourteen weeks from the ḫamuštum of Ilīdan month of ša kēnātim eponymate Enna-Suen. 
šu-ma lá iš-qú-ul 1.5 GÍN.TA a-na 1 ma-na-im i-na ITU.1.KAM ṣí-ib-tám ú-ṣa-áb,"If he does not pay (on time), he will add 1.5 shekels of interest per mina per month."
GÚ 52 ma-na 5 GÍN AN.NA ù 10 ku-ta-ni ša en-um-a-šùr DUMU PUZUR4.IŠTAR ša ṭup-pí-šu ḫa-ar-mì-im ri-iḫ-tí AN.NA-ki-šu ù ṣú-ba-tí-šu a-na ú-ṣú-ur-ša-a-šùr DUMU a-šùr-ma-lik ša ki-ma šu-a-ti áp-qí-id,"I entrusted 1 talent 52 minas 5 shekels tin and ten kutānum-textiles belonging to Ennum-Aššur son of Puzur-Ištar pertaining to his sealed tablet, the remainder of his tin and textiles, to Uṣur-ša-Aššur son of Aššur-mālik his representative."
IGI pu-šu-ke-en6 DUMU sú-e-a IGI PUZUR4-a-šùr DUMU šu-lá-ba-an IGI a-mur-DINGIR DUMU i-bi-sú-a,"Pūšu-kēn son of Sueyya, Puzur-Aššūr son of Šū-Laban, Amur-ilī son of Ibbi-Sua."
a-na a-šùr-na-da qí-bi4-ma um-ma a-šùr-ta-ak-lá-ku-ma mì-šu ša ta-áš-pu-ra-ni um-ma a-ta-ma 2 TÚG.ḪI.A ša té-zi-ba-ni a-na tur4-ḫu-mì-it ú-šé-bi4-lá-ku-šu-nu ù 0.33333 ma-na KÙ.BABBAR ší-im ANŠE i-na ša a-mur-IŠTAR ú-šé-ba-la-ni la-qá-am qá-bi4-a-ku 0.33333 ma-na KÙ.BABBAR ù ší-a-ma-tim ša a-lim{ki} šé-bi-lam 10 TÚG šu-ru-tim ša 5.TA ú 6.TA ma-as-ú-ni ù 2 maš-ki a-na qá-tí-kà a É kà-ri-im la-qá-am la i-mu-ú-šu-nu-ma ša-lim-be-lí a-na tur4-ḫu-mì-it tù-šé-bi4-la-šu-nu 8 GÍN.TA KÙ.BABBAR-áp-šu-nu 1.3333300000000001 ma-na 5 GÍN KÙ.BABBAR qá-dí ša maš-ki 0.66666 ma-na 4 GÍN KÙ.BABBAR ku-nu-ki-a ú 1 GÍN ša-du-a-tám a-na ša ki-ma šu-a-tí ú-šé-bi4-il5-ma en-nam-be-lam ú-šé-bi4-lu-ni-kum i-nu-mì a-na a-lim{ki} a-tal-ku um-ma a-ta-ma i-na na-áš-pá-ar-tí-kà ší-im-šu-nu i-pì-im KÙ.BABBAR ša en-nam-be-lim a-bu-ni li-il5-qé KÙ.BABBAR us-té-ṣí-ú-ni-kum-ma i-na ša šé-pì-a il5-té-qé ú mì-ma té-er-ta-kà ša ší-im ANŠE dí-šum lá ta-áš-ta-áp-ra-am 13 GÍN KÙ.BABBAR ša-du-a-at 13 ma-na KÙ.BABBAR-pì-im ú 16 GÍN KÙ.BABBAR ša um-ma a-ta-ma a-na ni-qí-kà a-lá-an 10 GÍN KÙ.BABBAR ša ta-dí-na-ni mì-ma ú-lá al-qé ší-im ANŠE tù-ṣa-ḫe-er a-ma-kam ta-aḫ-sí-is-ta-kà a-mur ta-aḫ-sí-is-tí ú na-áš-pár-tám ša a-ni-nam tù-šé-bi4-lá-ni a-ma-kam-ma ú a-ta ḫu-sú-ús,To Aššur-nādā from Asšur-taklāku:
KIŠIB šu-{d}EN.LÍL DUMU šu-ku-bi-im KIŠIB ṣí-lu-lu DUMU ú-ku,"Seal of Šu-Illil son of Šu-kūbum, seal of Şilūlū son of Uku. "
i-nu-mì i-dí-a-bu-um a-wa-sú iq-bi-ú 10 ma-na KÙ.BABBAR a-na ša-lim-a-šùr i-dí-in,"When Iddin-abum spoke his will, he gave 10 minas of silver to Šalim-Aššur."
um-ma šu-ut-ma i-ṣí-ba-at KÙ-pì-a li-il5-qé,"He said: ""He may take it from the interest on my silver."""
