src_orig,tgt
KIŠIB PUZUR₄-a-šur DUMU EN.ZU-na-da KIŠIB ša-lim-a-šur DUMU i-sú-ri-ik KIŠIB a-šur-na-da DUMU šu={d}EN.LÍL KIŠIB i-ri-ší-im DUMU i-a-a,"Seals: Puzur-Aššur s. ?, Šalim-Aššur s. Issu-rīk, Aššur-nādā s. Šū-Enlil, Erisim s. Iya."
ša ḫu-bu-ul i-ri-ší-im 2 ma-na KÙ.BABBAR ṣa-ru-pá-am a-šur-SIPA i-šu,Regarding Erišum's debt of 2 minas refined silver owed to Aššur-rēʾī.
iš-tù ḫa-muš-tim ša DINGIR-ìš-tí-kál ù kur-ub-IŠTAR 1.5 GÍN.TA i-na ITU.KAM a-na 1 ma-na-im ú-ṣa-áb ta-aḫ-sí-is-tum a-ni-tum me-eḫ-ra-at ṭup-pì-im ḫa-ar-mì-im i-ri-ší-im DUMU i-a-a,He will add 1 1/2 shekels per mina per month as interest from the ḫamuštum of Iliš-tīkal and Kurub-Ištar.
a-na i-tur₄-DINGIR i-na-a ù a-šùr-ta-ak-lá-ku qí-bi₄-ma um-ma ḫu-ṣa-ru um-ma,"To Itūr-ilī, Innāya, and Aššur-taklāku from Ḫuṣārum:"
áš-pu-ra-ku-nu-tí um-ma a-na-ku-ma a-wa-tum ša um-mì-a-an kur-ub-IŠTAR ù a-ḫi-a šu-ma im-ta-ag-ru,I wrote to you.
a-wa-tim ki-ma ta-le-a-ni gu₅-um-ra mì-ma a-wa-tim ša i-ma-qú-ta-ni lu ma-ma-an i-ša-pu-ru-nim té-er-ta-ak-nu li-li-kam-ma úz-ni pí-té-a a-lá-nu-ma a-wa-sú lá ta-ga-ma-ra um-ma a-tù-nu-ma té-er-tí-ni a-ṣé-ri-šu li-li-ik KÙ.BABBAR ša É a-lim{ki} ša kur-ub-IŠTAR lá ša ú-šé-bi₄-lá-ni,"I said, ""As for the matter of Kurub-Ištar's and Aḫia's investors, if they come to an agreement settle the matter insofar as you can. However the matter falls out, or whatever they write, let your report come and inform me. Don't try to resolve the matter from there."""
a-tù-nu lá tí-de₈-a ki-ma KÙ.BABBAR-pu wa-aq-ru-ni iš-tù bu-ru-uš-ḫa-dum ú-šé-ba-lam,"Don't you three know that becasue silver is scarce, he will send it from Purušhattum?"
a-na a-šùr-ba-ni ù ša-lim-a-šùr qí-bi-ma um-ma pu-šu-ke-en₆-ma,To Aššur-bāni and Šalim-Aššur from Pūšu-kēn:
lá li-bi DINGIR-ma i-dí={d}UTU me-et,"Unfortunately, Idī-Šamaš has died."
a-na 10 ma-na ù e-li-iš i ḫa-ra-nim im-ta-aḫ-ṣa-ni,A loss of ten minas (of silver?) or more has hit me on the road.
ù 5 TÚG ḫu-lu-qá-ú,And 5 textiles are lost.
i-na sá-i-ti-šu i-ta-ab-ší-ú 0.5 ma-na KÙ.BABBAR bé-ú-lá-tù-šu ù 3.33333 ma-na AN.NA ḫa-bu-lam,"From its remnant which has arised, 1/2 mina of silver, his be'ulātum, and 3 1/3 minas of tin is owed(?) (who owes who here?)."
IGI šu-sú-en₆-ma-tim IGI dan-a-šùr,"Witnesses: Šū-Suen [x-x]-mātim, Dān-Aššur."
i-na 4 TÚG-ti-šu ša e-li-ú-ni-ni 3 GÍN KÙ.BABBAR ni-is-ḫa-tù-šu,"From his four textiles, which he brought up to me, 3 shekels of silver are its excise."
x-6 GÍN i-na TÚG.ḪI.A ša a ší-mì-im É.GAL-lúm il₅-qé-ú ik-šu-sú 12,x+6 shekels (of silver) fall to him from the textiles which the palace took for the tithe.
GÍN.TA 0.66666 ma-na 8 GÍN ší-im 4 TÚG-tí-šu,"At a 12 shekel rate, the price of the four textiles is 48 shekels."
ŠÀ.BA 9 GÍN ni-is-ḫa-tù-šu,"Thereof, 9 shekels is the excise."
