transliteration,translation,source_file
6 pi-ri-kà-ni ? sa lu-bu-us şiı-ha-ri 8 lu me-nu-ni-a-nu lu i-bi/pi-§u 9 lu pi!-ri-kà-ni sa a-na 1° lu-bu-§i-im da-nu-ni-ma 11 pé-lu-tdm ii-bu-lu-ni,"pirikannû being/for garments for servants, or m., or éb/yisû, or pirikannû which are strong enough to be used as clothing and which have a reddish colour(? ?)",akkadian-translation.csv
"a-di zıa-ya-an si -qi-nim sa tat- f pu-ra-ni-ma 6 um-ma a-ta-ma "" ki-ma sa-ld-am KÙ . BABBAR -i-a 7 I GÎN if qd-qd-da-ti-ma 8 sa-ld-mi-im ('ß-sa 9 lıa-ya-an siı-qi-nim 1° i-pd-té-ma a-ma-lâ 11 té-ey-ti-kà né-fid-âs","as for the ""narrow track"" about which you wrote as follows: ""Try your best to save every possible shekel of my silver and to save the ""head-tax"", when the ""narrow track"" opens, we will act according to your instruction""",akkadian-translation.csv
2 GÛ AN . NA 6 1/2 ma-na . TA 7 mu-ta-tum wa-at-ra 8 pci-ni-um 2`z 4 GÛ 9 Io nia-na . TA mu-ta-tum 1° wa-at-ra 11 sa §é-ep A 12 sa iz-ku-ni,"in the first place 2 talents of tin, with the half-packs (containing) each 61/2 minas (of tin) extra; furthermore 4 talents of tin, the half-packs containing each 10 minas extra; transported by A and available after clearance",akkadian-translation.csv
I TITG kà-db-ta-am 9 a-na A-fur ma-lik 1° i-na pd-ni-tim 11 ha-ra-ni-§u a-di-in-[s]u-um 12 KÛ . BABBAR--i-su mi-ma 13 it-la ub-ld-am,"I gave I heavy textile to Ashur-mâlik at the time of his previous caravan trip, but he has not yet brought me its proceeds in silver",akkadian-translation.csv
e pk-da-am a-na 1 ° «a» li-tab-§i-a sa-ma-«ma-»am,buy me one ê attum to dress myself,akkadian-translation.csv
s-nu-tdm ra-ki-is-ma 9 bi-ld-at e--ma-ri kà-i--in-ma 1° ma-la e-ma-ru i--na-si-s-ni 11 ù té-er-ta--kà ar-hi-is 12 ii-li-kam-ma,"bind on the harness, fasten the ass-loads and then let information come to me how much the asses are carrying",akkadian-translation.csv
3 TI G kam-sû-tim SIG5 7 TI G 8 ku-ta-ni sU . NIGIN2 ID Ti7G sa a-§i-ti-kà 9 a-na Ku-lu-ma-a ma-ah-ri-a 1° ta-dß-qi-id-ma na-czs-a-kum 11 I ri-ik-sà-am sa hu-sci-ri sa a-f si-ti-kà 12 dUTU tcik-lci-ku ÎR-ad-kà 13 [n]a-d§-a-kum,"7 kamsu-textiles of good quality, 3 kutcznu-textiles, in all io textiles of your wife (which) she entrusted to Kulumâ in my presence, and which he is bringing you. One bundle of haematite(?) from your wife Sama§-taklâku, your slave, is bringing you",akkadian-translation.csv
i-ma-du-du-m[a] 8 [i]-na sa-la-âk 9 ku-ma ba-ti-iq KÙ . BABBAR 1° [i]-şa-he-er ku-ma 11 i-na ka-la-ak 12 wa-ta-ar KÙ . BABBAR i-té-er,"they will measure out three ""plots"" b40) and if there prove to be less than three ""plots"", the silver diminishes ; but if there are more than three, the silver in- creases 541).",akkadian-translation.csv
i-na I GT 3o ma-na KÙ . BABBAR 1° ka DUB-pd-am ka A 11 B ih-ri-mu 12 AN . NA ù T[JG . xI . A ka GN ... 15 ... lu-q2ı-tâm 16 sa GN ki-ma 17 na-âk-û-ni i-sa-he-er,"from the I talent 3o minas of silver, for which B (the creditor) drew up a valid deed of loan of A, tin and textiles in GN as soon as one brings this merchandise from GN, it will be deducted",akkadian-translation.csv
a-na 1° 2 ma-na KÙ . BABBAR sa tù-§g-bi-id-ni ki-ma §i-mu-um sa a-ki-di-e id-ap-tù-ni lâ ıi-§é-ba-id-kum,"for the 2 minas of silver which you sent me I have, since the trade in Akkadian textiles has been affected, not sent you (any of them)",akkadian-translation.csv
