transliteration,translation,source_file
0.3333 ma-na 1.3333 GÍN KÙ.BABBAR ṣa-ru-pá-am i li-bi šé-ep-IŠTAR 1 GÍN iš-tí e-wa-ri-mu-ša,0.3333 mina 1.3333 shekel of refined silver is in Šēp-Ištar's possession.,train.csv
0.3333 ma-na 1.3333 GÍN KÙ.BABBAR ṣa-ru-pá-am i li-bi šé-ep-IŠTAR 1 GÍN iš-tí e-wa-ri-mu-ša,0.3333 mina 1.3333 shekel of refined silver is in Šēp-Ištar's possession. 1 shekel is owed by Ewarimuša.,train_dataset_w_most_sources.csv
0.3333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am ga-al-dá-a ša e-la-ma i-be-i-el KI KÙ.BABBAR-pí-im uk-ta-al IGI lá-qé-pì-im IGI a-mur-{d}UTU IGI e-ze-e šu-ma ú-da-pí-ir 1 GÍN.TA i-na ITU.KAM ú-ṣa-áb,"25 shekels of refined silver Galdaya of Elamma will manage. He is held in service with the silver. Witnessed by Lā-qēpum, by Amur-Šamaš, by Ezē. If he disappears he will add 1 shekel of silver as interest per month.",train.csv
0.3333 ma-na 5 GÍN KÙ.BABBAR ṣa-ru-pá-am ga-al-dá-a ša e-la-ma i-be-i-el KI KÙ.BABBAR-pí-im uk-ta-al IGI lá-qé-pì-im IGI a-mur-{d}UTU IGI e-ze-e šu-ma ú-da-pí-ir 1 GÍN.TA i-na ITU.KAM ú-ṣa-áb,"25 shekels of refined silver Galdaya of Elamma <<of Elamma>> will manage. He is held in service with the silver. Witnessed by Lā-qēpum, by Amur-Šamaš, by Ezē. If he disappears he will add 1 shekel of silver as interest per month.",train_dataset_w_most_sources.csv
0.5 GÍN KÙ.BABBAR a-na NINDA 2 ší-ni-šu šé-ni-in ša sí-ni-iš-tim 20 sí-pá-ra-tum 10.5 GÍN AN.NA 5-ší-šu ma-ar-šu ša 0.25 GÍN du-ug-lu i-nu-mì a-na ku-bu-ur-na-at a-ṣé-er ì-lí-dan a-dí-da ù sá-li-a a-lu-wa áš-pu-ru a-na qá-tí-šu a-dí-in,"0.5 shekel of silver for bread. 2 pairs of women's shoes, 20 bronze pins, 10.5 shekels of tin, five sets of leather straps, duglu worth 1 / 4 shekel - when I sent Aluwa to Kuburnat to Ilī-dan, Adida and Salliya I gave this to him to dispose over.",train.csv
0.5 GÍN KÙ.BABBAR a-na NINDA 2 ší-ni-šu šé-ni-in ša sí-ni-iš-tim 20 sí-pá-ra-tum 10.5 GÍN AN.NA 5-ší-šu ma-ar-šu ša 0.25 GÍN du-ug-lu i-nu-mì a-na ku-bu-ur-na-at a-ṣé-er ì-lí-dan a-dí-da ù sá-li-a a-lu-wa áš-pu-ru a-na qá-tí-šu a-dí-in,"0.5 shekel of silver for bread. 2 pairs of womens shoes, 20 bronze pins, 10.5 shekels of tin, five sets of leather straps, duglu worth ¼ shekel - when I sent Aluwa to Kuburnat to Ilī-dan, Adida and Salliya I gave this to him to dispose over.",train_dataset_w_most_sources.csv
0.5 ma-na 3 GÍN KÙ.BABBAR ší-im a-ma-tim i-na li-bi <gap>-an i-na tù-wa-ri-šu KÙ.BABBAR i-ša-qal,"0.5 mina 3 shekels of silver, the price of slave-girls, is owed by <gap>an.",train.csv
0.5 ma-na 3 GÍN KÙ.BABBAR ší-im a-ma-tim i-na li-bi <gap>-an i-na tù-wa-ri-šu KÙ.BABBAR i-ša-qal,"0.5 mina 3 shekels of silver, the price of slave-girls, is owed by <gap>-an. He will pay the silver when he returns.",train_dataset_w_most_sources.csv
0.5 ma-na 5.5 GÍN KÙ.BABBAR KI ṣí-li-IŠTAR ša ší-na-hu-tim,0.5 mina 5.5 shekels of silver is with Ṣilli-Ištar of Šinahuttum.,phucthaiv02_oa_sentences.csv
0.5 ma-na 5.5 GÍN KÙ.BABBAR KI ṣí-li-IŠTAR ša ší-na-hu-tim,0.5 mina 5.5 shekels of silver is owed by Ṣilli-Ištar from Šinahuttum.,train_dataset_w_most_sources.csv
0.6666 ma-na KÙ.BABBAR ṣa-ru-pá-am bé-ú-la-tim ša ir-ma-a-šùr a-šùr-GAL ú-kà-al iš-tí KÙ.BABBAR a-šùr-GAL uk-ta-al IGI a-šùr-GAL IGI en-um-a-šùr,"0.6666 mina of refined silver, the working capital of Ir'am-Aššur, Aššur-rabi has in his possession. With the silver Aššur-rabi is held (in service). Witnessed by Aššur-rabi, by Ennam-Aššur",train.csv
0.6666 ma-na KÙ.BABBAR ṣa-ru-pá-am bé-ú-la-tim ša ir-ma-a-šùr a-šùr-GAL ú-kà-al iš-tí KÙ.BABBAR a-šùr-GAL uk-ta-al IGI a-šùr-GAL IGI en-um-a-šùr,"0.6666 mina of refined silver, the working capital of Iram-Aššur, Aššur-rabi has in his possession. With the silver Aššur-rabi is held in service. Witnessed by Aššur-rabi, by Ennam-Aššur",train_dataset_w_most_sources.csv
1 ANŠE me-et,One donkey is dead.,akkadian-translation.csv
1 ANŠE me-et,1 donkey is dead;,phucthaiv02_oa_sentences.csv
1 GÍN KÙ.BABBAR KI DINGIR-ra-bi,1 shekel of silver owed by Ilī-rabi.,train.csv
1 GÍN KÙ.BABBAR KI DINGIR-ra-bi,1 shekel of silver owed by Ilī-rabi.,train_dataset_w_most_sources.csv
1 GÍN KÙ.BABBAR be-lúm-ba-ni,1 shekel of silver: Bēlum-bāni;,phucthaiv02_oa_sentences.csv
1 GÍN KÙ.BABBAR be-lúm-ba-ni,1 shekel of silver: Bēlum-bāni;,train_dataset_w_most_sources.csv
1 GÍN im-ṭí,1 shekel was missing.,akkadian-translation.csv
1 GÍN im-ṭí,it was 1 shekel short.,phucthaiv02_oa_sentences.csv
1 GÚ-tum 1 ma-na.TA i-na ša-bu-ri-im im-ṭí,One mina per talent was missing during the breaking up.,akkadian-translation.csv
1 GÚ-tum 1 ma-na.TA i-na ša-bu-ri-im im-ṭí,1 mina per talent was lost during the breaking up;,phucthaiv02_oa_sentences.csv
1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé,Itūr-ilī has received one textile of ordinary quality.,phucthaiv02_oa_sentences.csv
1 TÚG ša qá-tim i-tur₄-DINGIR il₅-qé,Itūr-ilī has received one textile of ordinary quality.,train.csv
1 ku-lu-ma-a 1 a-ta-a ma-nu-ba 1 šu-IŠTAR 1 DU₁₀-ṣí-lá-a-šur 1 ba-al-ṭù-a 1 a-lá-ku,"1 Kulumaya, 1 Ataya, Mannuba, 1 Šu-Ištar, 1 Ṭāb-ṣilli-Aššur, 1 Balṭuwa, 1 Alāku.",phucthaiv02_oa_sentences.csv
1 ku-lu-ma-a 1 a-ta-a ma-nu-ba 1 šu-IŠTAR 1 DU₁₀-ṣí-lá-a-šur 1 ba-al-ṭù-a 1 a-lá-ku,"Kulumaya, Ataya, Mannuba, Šu-Ištar Ṭāb-ṣilli-Aššur, Balṭuwa, Alāku.",train.csv
1 ma-na 6 GÍN ṣa-ru-pu-um DUMU e-ra-dí 16 GÍN KÙ.BABBAR ṣí-lá-da-ad É kà-ri-im ip-qí-du-nim,1 mina 6 shekels of refined (silver): the son of Erra-idī;,train.csv
1 ma-na 6 GÍN ṣa-ru-pu-um DUMU e-ra-dí 16 GÍN KÙ.BABBAR ṣí-lá-da-ad É kà-ri-im ip-qí-du-nim,1 mina 6 shekels of refined silver: the son of Erra-idī;,train_dataset_w_most_sources.csv
1.25 GÍN KÙ.BABBAR i-na li-bi4 lu-lu,1 1/4 shekel of silver is owed by Lulu.,phucthaiv02_oa_sentences.csv
1.25 GÍN KÙ.BABBAR i-na li-bi4 lu-lu,1 ¼ shekel of silver is owed by Lulu.,train_dataset_w_most_sources.csv
1.5 GÍN KÙ.BABBAR a-na a-šur-ma-lik,1.5 shekel of silver for Aššur-malik;,phucthaiv02_oa_sentences.csv
