transliteration,translation
ša-lim-a-šùr ù šu-be-lúm iṣ-bu-tù-ni-a-tí-ma um-ma šu-be-lúm-ma a-na ša-lim-a-šùr-ma a-bi a-ta a-na É a-bi-a a-na mì-ma a-na a-wa-tí-kà ga-ma-ri-im a-li-kam i-a-tí i pá-ni a-hi-e-a KÙ.BABBAR ša ta-da-nim dí-nam,"Šalim-Aššur and Šu-Bēlum seized us and Šu-Bēlum said to Šalim-Aššur: ""You are my father, I have come to conclude your case about everything relating to my parental house. Give me what silver there is to give before my brothers."""
um-ma ša-lim-a-šùr-ma 15 ma-na KÙ.BABBAR a-ma i-na pá-ni a-he-kà ta-lá-qé a-ma bu-zu-a qá-ta-tù-a,"Šalim-Aššur answered: ""You will indeed recieve 15 minas of silver before your brothers."" ""Now, Buzuwa is my guarantor."""
um-ma ša-lim-a-šur-ma i-na ga-ma-ar a-wa-tim ki-ma ku-a-tí ma-nam tù-šé-ša-áb,"Šalim-Aššur continued: ""At the conclusion of the matter who will you have sit down on your behalf?"""
um-ma šu-be-lúm-ma bu-zu-a ù a-gi-a ki-ma i-a-tí ú-šé-ša-áb KÙ.BABBAR ša i pá-ni a-he-e-a ta-da-na-ni KÙ.BABBAR 2 ší-na KÙ.BABBAR lu-ṣa-hi-ru-ni-kum,"Šu-Bēlum answered: ""I shall have Buzuwa and Agiya sit down for me. The silver that you will give me before my brothers, those two will deduct that silver for you."" Šalim-Aššur said:"
um-ma ša-lim-a-šùr-ma šu-ma-ba bu-zu-a ù a-gi-a i-na ga-ma-ar a-wa-tim lá tù-uš-té-ší-ib,"Šalim-Aššur said: ""And if indeed you have not had Buzuwa and Agiya sit down when the case is concluded?"""
um-ma šu-be-lúm-ma šu-ma bu-zu-a ù a-gi-a-a i-ga-ma-ar a-wa-tim lá uš-té-ší-ib a-na 5 ma-na KÙ.BABBAR ša bu-zu-a e-pu-li-ni mì-ma lá ta-da-nam,"Šu-Bēlum answered: ""If I have not had Buzuwa and Agiya sit down at the conclusion of the case, you shall not give me anything for the 5 minas of silver that Buzuwa balanced for me."""
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"The Kanesh colony gave us for these proceedings, and we gave our testimony before Aššur's dagger."
ša hu-bu-ul i-dí-a-bi-im 5 ma-na KÙ.BABBAR ṣa-ru-pá-am,The debt of Iddin-abim.
i-ṣé-er i-dí-a-bi-im a-šur-{d}UTU-ši i-šu iš-tù ha-mu-uš-tim ša a-mur-IŠTAR,Iddin-abim owes 5 minas refined silver to Aššur-Šamši.
a-na 23 ha-am-ša-tim i-ša-qal šu-ma i-na ma-lá u4-me-šu la iš-qú-ul,From the hamuštum of Amur-Ištar he has 23 weeks to pay.
ku-pu-ur-ší-ni-IN SIG5 i-ṣé-er im-lik-a-šùr ir-ma-a-šur i-šu,Ku-pu-ur-ší-ni-IN owes Imlik-Aššur and Irma Aššur 2 shekels fine gold.
iš-tù ha-IR-uš-tim ša e-dí-na-a a-na 15 ha-am-ša-tim i-ša-qal šu-ma lá ìš-qúl ki-ma a-wa-at kà-ri-im,He will pay 15 hamuštum weeks from the hamuštum of Iddinaya.
ú-ṣa-áb ITU.KAM qá-ra-a-tim li-mu-um e-lá-lí DUMU i-ku-nim,"If he does not pay (on time), He will add (interest) at the rate of the colony."
IGI pí-lá-ah-a-šur DUMU da-nu-um-ì-lí IGI a-šur-ma-lik DUMU a-zu-za,"Witnesses: Pilah-Aššur s. Dānum-ilī, Aššur-mālik s. Azuza."
a-na ta-ar-bi4-tim ù-ku-ul-tí-im ù qú-bu-ri-im ša me-er-ú-at kà-áp-sí-a a-na AN.NA ta-ad-mì-iq-tim ša DUMU.MÍ ha-na-na DAM ha-na-na ú me-er-ú ha-na-na mì-ma a-na kà-áp-sí-a DAM a-lá-bi4-im i-dí-nu-ni,"For the costs of upbringing, the food and the tomb of the daughters of Kapsiya, for the tin, the venture credit of the daughter of Hanana, Hanana's wife and sons will not raise claims against Kapsiya for anything they have given to Kapsiya, wife of Ali-abum."
