transliteration,translation,source_file
!-2 GÍN 15 †E KÙ.BABBAR ana pá-e 2-3 GÍN 16 †E ana bappirim addin,I paid x silver for straw and x for “beer bread”,akkadian-translation.csv
!-2 GÍN 15 †E KÙ.BABBAR ana pá-e 2-3 GÍN 16 †E ana bappirim addin,"I paid x silver for straw and x for ""beer bread""",akkadian-translation.csv
"""a4ZA.G[l]N [BABBAR tuk-ku]-up [""a4]ZA.GÎN.EDIN.NA MU.[NI], ""a4ZA.GIN [SIG7 tuk-ku]-up [""a4]ZA.GiN m[ar-h]a/wm""M[U.NI]","the lapis lazuli speckled with white, its name (is) the serremānu-stone, the lapis lazuli speckled with yellow, its name (is) the lapis of Marhaši.",akkadian-translation.csv
"""a4ZA.G[l]N [BABBAR tuk-ku]-up [""a4]ZA.GÎN.EDIN.NA MU.[NI], ""a4ZA.GIN [SIG7 tuk-ku]-up [""a4]ZA.GiN m[ar-h]a/wm""M[U.NI]","the lapis-lazuli spotted with white, its name is the serremànu-stone, the lapis-lazuli spotted with yellow, its name is the lapis of Marhashi",akkadian-translation.csv
#up-pu-um a-num $a mì-ig-ra-at I-dí-Sú-en6 I$tar-pì-lá-ah ù Puzur4-ƒIM $a ni-i$ a-lim it-mu-ú-ni,"This is the tablet with the agreement of Iddin-Suen, I$tar-pilah and Puzur-Adad which they swore by oath of the City.",akkadian-translation.csv
#up-pu-um a-num $a mì-ig-ra-at I-dí-Sú-en6 I$tar-pì-lá-ah ù Puzur4-ƒIM $a ni-i$ a-lim it-mu-ú-ni,"This is the tablet with the agreement of A, B and C which they swore by oath of the City.",akkadian-translation.csv
#up-pí-ku-nu kà-i-lá ù #up-pu-a lá-pu-tù-ma i-ba-$í-ú,Keep your tablets for my tablets are written and available.,akkadian-translation.csv
#up-pí-ku-nu kà-i-lá ù #up-pu-a lá-pu-tù-ma i-ba-$í-ú,"“Hold your tablets ready, for my tablets are written and available.",akkadian-translation.csv
$a n‰$ ªlim u rubª’im tammu’u $‰butt‰ ka’ilª,"Keep in mind, (you pl.) who are sworn by an oath of the City and the prince",akkadian-translation.csv
$a n‰$ ªlim u rubª’im tammu’u $‰butt‰ ka’ilª,"Keep in mind, (you pl.) who are? sworn by an oath of the City and the prince …",akkadian-translation.csv
"$i-nu-mi be-la-at 9Ébe -""""' tù-ul-du",When the Lady of the house has given birth,akkadian-translation.csv
"$i-nu-mi be-la-at 9Ébe -""""' tù-ul-du",When the Lady of the house gave birth.,akkadian-translation.csv
$u-ma : i-na $a a-bi4 i-dí-na-ku-ni mì-ma i-li-bi4-kà i-$í-a-at a-na a-hi-a lá tù-$a-ar,"“If any of what my father gave to you remains in your possession, do not release it to my brother.",akkadian-translation.csv
$u-ma : i-na $a a-bi4 i-dí-na-ku-ni mì-ma i-li-bi4-kà i-$í-a-at a-na a-hi-a lá tù-$a-ar,"If any of what my father gave to you remains in your possession, do not release it to my brother.",akkadian-translation.csv
$u-ma tù-ta-$é-er a-na-ku ú a-ha-tí a-na a-wa-tim ni-$é-e-kà,"If you release it, then I and my sister will sue you in the matter.”",akkadian-translation.csv
$u-ma tù-ta-$é-er a-na-ku ú a-ha-tí a-na a-wa-tim ni-$é-e-kà,"If you release it, then I and my sister will sue you in the matter.",akkadian-translation.csv
' ma-na 8 GIN KÙ.BABBAR Si-im 2 TUG ku-to-ni-Su É kà-ri-im a-041-a û-ta-hi,"1/2 mina 8 shekels of silver, the purchase price of his 2 kutānum-fabrics, I added to my account in the bit karim.",akkadian-translation.csv
' ma-na 8 GIN KÙ.BABBAR Si-im 2 TUG ku-to-ni-Su É kà-ri-im a-041-a û-ta-hi,"1/2 mina 8 shekels of silver, the purchase price of his 2 kutânum-fabrics, I have added to my account in the bet karim.",akkadian-translation.csv
' ma-na 8 GIN KÙ.BABBAR Si-im 2 TUG ku-to-ni-Su É kà-ri-im a-041-a û-ta-hi,"1/2 mina 8 shekels of silver, the purchase price of his 2 kutānum-garments, I have added to my account in the karum-house.",akkadian-translation.csv
' ma-na KÙ.BABBAR a-na IR-ad-Ku-bi4 a-di-in,I gave 1/2 mina of silver to Ir-ad-Kubi.,akkadian-translation.csv
' ma-na KÙ.BABBAR a-na IR-ad-Ku-bi4 a-di-in,I gave 1/2 mina of silver to Urada-Kubi.,akkadian-translation.csv
' ma-na KÙ.BABBAR a-na IR-ad-Ku-bi4 a-di-in,1/2 mina of silver I gave to Urad-Kubi.,akkadian-translation.csv
' ma-na KÙ.BABBAR a-qâ-ti-su-nu a-di-in,1/2 mina of silver I have given into their hands.,akkadian-translation.csv
' ma-na KÙ.BABBAR a-qâ-ti-su-nu a-di-in,1/2 mina of silver I have given into their hand.,akkadian-translation.csv
' ma-na KÙ.BABBAR a-qâ-ti-su-nu a-di-in,I gave 1/2 mina of silver into their hand.,akkadian-translation.csv
'/ DUG bu-uq-lam id-pet-Nu,1/2 jar was converted into malt.,akkadian-translation.csv
