transliteration,translation,source_file
abi atta,"You are my father, please",akkadian-translation.csv
ahi atta,"You are my brother, please",akkadian-translation.csv
gattum ianat,"The year is its year, the year is suitable.",akkadian-translation.csv
kima arramânâtika tasâ'umu sâm,Buy as if you were buying for yourself,akkadian-translation.csv
mer'uia attunu,"You are my children, please, I beg you",akkadian-translation.csv
um-ma Ü-şuraJtar a-na Su-La-ba-an it Hu-ni-a qi-bi-ma,Uşur-sa-Ištar says thus to Šū-Laban and Hunnia.,akkadian-translation.csv
13 GIN KİI. BABBAR i-na ra-me-ni-a û-ra-de9-e-ma a-na 4w-bu..li-.kà âs-q61-ma,I added 13 shekels of silver from my own and weighed it for your debt.,akkadian-translation.csv
tup-pâ-am sa 4w-bw-li4cà iı-Sé-şi-ma,I had the tablet of your debt produced.,akkadian-translation.csv
ni-ki-ils-Su-ma,We persuaded (tricked) him.,akkadian-translation.csv
Hu-n i-a na-âs-a-ku-um,Hunnia is bringing it to you.,akkadian-translation.csv
13 GIN KU.BABBAR a-na Iju-ni-a di-in,Give 13 shekels of silver to Hunnia.,akkadian-translation.csv
tuppum ga eli'ani sarü,The document to be produced for us is false,akkadian-translation.csv
ûmû mâdu,The days are many; there is much time,akkadian-translation.csv
kaspum iqqaqqad âalmiâunu,"The money is bound to the heads of their survivors, it is under their guarantee.",akkadian-translation.csv
awilu anniütum lu idiü,"Let these men know, they know that",akkadian-translation.csv
i-na 14 1/2 ma-na û 7 GÍN KÙ.BABBAR ša A-mur-Ištar a-na Lâ-qé-ep i-ha-ib-lu nu-ša-ni-iq-šu-ma 10 2/3 GÍN im-ti,"From the 14 1/2 minas and 7 shekels of silver that Amur-Ištar had borrowed from Lā-qēp, when we checked it, 10 2/3 shekels were missing.",akkadian-translation.csv
šà.ba 1/3 ma-na ra-bi4-šu-um il5-qé,"Of it, the attorney took 1/3 mina.",akkadian-translation.csv
iš-ti KÙ.BABBAR 14 ma-na 7 GÍN Kur-ub-Ištar il5-qé,"The rest of the silver, 14 minas 7 shekels, Kurub-Ištar took.",akkadian-translation.csv
um-ma šu-ut-ma a-na A-šur-ma-lik Lâ-qé-pu-um ha-bu-ul-ma al-qé,"He spoke as follows: 'Lā-qēpum owes (it) to Aššur-malik, therefore I have taken (it).'",akkadian-translation.csv
um-ma Dan-A-Air--ma sa ni-ii a-limki kà-i-lâ ki-ma um-ma su-ut-ma AN.NA a-na ku-a-ti is Ku-s:-a a-di-in,"Dân-Assur (spoke) then as follows: 'You, who (have sworn) the oath of the city, hold fast that he said: ""I gave the tin to you and Kûşija"".'",akkadian-translation.csv
a-na a-wa-tim a-ni-a-tim ka-ru-um Tur4-hu-mi-it i-dz ni-a-tz ma IGI GfR sa A-sir si-bu-ti ni ni-dz-in,"For these matters, the Kârum Turhumit gave us (as witnesses), and before the sword of Assur we gave our testimony.",akkadian-translation.csv
nishässu watar saddu'ässu sabbfi,"Its nishātum-tax has been added, its šaddu'ūtum-tax has been satisfied",akkadian-translation.csv
um-ma Ù-şur-si-Istar-ma a-na A-kà-di-a qi-bi-ma,Thus says Ushur-sha-Ishtar to Akkadia:,akkadian-translation.csv
mi-nu-um tup-pé-e lâ dam-qû-tim sa ta-di-ta-na-pi-ri-ni,Why do you keep sending me tablets that are not good?,akkadian-translation.csv
a-di sa É Su-Be-lim lu i-gis-ir û lu mi-ma i-bi-su-nu ta-ia-me-i ûz-ni p6-ti-i,"As for the house of Su-Belum: whether it is rent, or whatever of theirs you hear, open my ear (inform me).",akkadian-translation.csv
a-4a-ti a-ti e-lâ-nu-kà i-su,"You are my sister, who else do I have besides you?",akkadian-translation.csv
İGİ A-'s-ur û i-li-ki ku-ur-bi-im,Bless me before the god Assur and your god.,akkadian-translation.csv
İ-ku-pt-a ù .cil-ma-A-sur KÙ.Kİ-Şû-nu ils-tdq-qt-û,Ikuppia and Salma-Assur have repeatedly taken their gold.,akkadian-translation.csv
ù Ï-d-A-ur ld-qd-a-am e-ta-wi,And Idi-Assur spoke about taking it.,akkadian-translation.csv
8 ma-na.TA URUDU iikkam ana ukultiia I.GİS<ia> u eşiia ina ITU.KAM'm Pitah-Pstar ana Tatana aiiitiiu iddasiim u ina attim TUG iddassim,"For every month, Pilah-Ishtar will give 8 minas of copper fragments to his wife Tatana for her food, oil, and wood. Also, he will give a garment every year.",akkadian-translation.csv
1 ahatni ana gdtika ammûtim taddan ianitam Sa-Laban iddin Haitahiuiar Béldnum u andku ana qatini niddassi şuhartam ana mûtim la taddan taddanmagamram sa 3 iinati ina raménika tumalla,"You gave one of our sisters to a husband on your own account. Su-Laban gave the second one. Belanum and I will give Hastahshushar as our share. You must not give the young girl to a husband! If you do, you will pay the expenses for the three of them from your own resources.",akkadian-translation.csv
iumma DUMU Banaga iqabbiakum umma 9ütma şuhartum Otuz umma attama térti abi ana Alim allak ana Älimk' serisima ina Alim ahhaz apputtum ammakam la tahhaz,"If the son of Banaga says to you: 'Take the girl!', you shall answer as follows: 'I will go to the City for my father's instruction. Send the girl to the City; I will marry her in the City.' Please, do not marry there!",akkadian-translation.csv
