transliteration,translation,source_file,norm
1 2/3 maném kaspam sa Su-Hu-bur sa A-šizr-na-da i-s`u-ni Pu-gu-ki-in e pu-ul,Pusu-ken paid 1 2/3 minas of silver of Su-Hubur which Assur-nada had.,akkadian-translation.csv,1 23 manem kaspam sa suhubur sa asizrnada isuni pugukiin e puul
1 2/3 maném kaspam ša Su-Hu-bur sa A-šizr-na-da i-s`u-ni Pu-gu-ki-in e pu-ul,"Pusu-ken paid 1 2/3 minas of silver belonging to Su-Hubur, which Assur-nada had.",akkadian-translation.csv,1 23 manem kaspam sa suhubur sa asizrnada isuni pugukiin e puul
1 kà-sú-um sˇa IGI ša-ru-ma!-té-en,1 cup that was in front of Sˇarru-ma¯te¯n.,akkadian-translation.csv,1 kasuum sa igi sarumateen
1 kà-sú-um ša IGI ša-ru-ma-té-en,1 goblet that was in front of Šarru-mātēn.,phucthaiv02_oa_sentences.csv,1 kasuum sa igi sarumateen
1 me-at 96 GÙ we-ri šÀ.BA 3 GÙ a-na DUMU A-gu-a as-ni-iq,Of 196 talents of copper: I handed over 3 talents of it to the son of Agua.,akkadian-translation.csv,1 meat 96 gu weri saba 3 gu ana dumu agua asniiq
1 me-at 96 GÙ we-ri SÀ.BA 3 GÙ a-na DUMU A-gu-a as-ni-iq,"Of 196 talents of copper, I handed over 3 talents to the son of Agua.",akkadian-translation.csv,1 meat 96 gu weri saba 3 gu ana dumu agua asniiq
1 TÚG ša A-ki-dí-e Lá-qé-ep na-áš-a-kum,La-q®p brings you 1 Akkadian textile.,akkadian-translation.csv,1 tug sa akidie laqeep naasakum
1 TÚG ša a-ki-dí-e lá-qé-ep na-áš-a-kum,La-qēp brings you 1 Akkadian textile.,phucthaiv02_oa_sentences.csv,1 tug sa akidie laqeep naasakum
12 bilatior eram si-kam darsnzugam i ş6-er Ni-rnar-Istar Bu-za-zu i -sac is tic,Buzazu has 12 talents of refined copper in pieces against Nimar-Istar.,akkadian-translation.csv,12 bilatior eram sikam darsnzugam i s6er nirnaristar buzazu i sac is tic
12 bilatior eram si-kam darsnzugam i š6-er Ni-rnar-Istar Bu-za-zu i -sac is tic,"Buzazu has 12 talents of copper in pieces, refined, on the back of Nimar-Istar.",akkadian-translation.csv,12 bilatior eram sikam darsnzugam i s6er nirnaristar buzazu i sac is tic
1/2 maném kaspam sa-ru pd-am sit Pu-su-ki-in I-di-A-sur bi-û-lâ-at Ku-ul-zi-ar me-er-i su i15-qi,"Regarding the 1/2 mina of refined silver belonging to Pusu-ken: Idi-Assur took the working capital of Kulziar, his son.",akkadian-translation.csv,12 manem kaspam saru pdam sit pusukiin idiasur biulaat kuulziar meeri su i15qi
1/2 maném kaspam ša-ru pd-am sit Pu-su-ki-in I-di-A-sur bi-û-lâ-at Ku-ul-zi-ar me-er-i su i15-qi,"Regarding the 1/2 mina of silver, refined, of Pusu-ken: Idi-Assur took the working capital of Kulziar, his son.",akkadian-translation.csv,12 manem kaspam saru pdam sit pusukiin idiasur biulaat kuulziar meeri su i15qi
2 TÚG.HI.A ku-ta-ni ša šu-Ištar DUMU Lu-zi-ni a-na 27 ma-na URUDU ma-sí-im Li-ip-ta-num a-na I-dí-A-šùr DUMU Dan-A-šùr i-dí-in,A gave B two kutªnu-textiles belonging to C for 27 minas of washed copper.,akkadian-translation.csv,2 tughia kutani sa suistar dumu luzini ana 27 mana urudu masiim liiptanum ana idiasur dumu danasur idiin
2 TÚG.ḪI.A ku-ta-ni ša šu-IŠTAR DUMU lu-zi-ni a-na 27 ma-na URUDU ma-sí-im li-ip-ta-num a-na i-dí-a-šùr DUMU dan-a-šùr i-dí-in,"Two kutānu-textiles belonging to Šu-Ištar, son of Luzini, Liptānum gave to Iddin-Aššur, son of Dān-Aššur, for 27 minas of refined copper.",phucthaiv02_oa_sentences.csv,2 tughia kutani sa suistar dumu luzini ana 27 mana urudu masiim liiptanum ana idiasur dumu danasur idiin
3 GÙ URUDU šÀ'.BA? 5? GU 10? ma-na.TA? a Kàniisûsébi4lam.,"3 talents of copper, of which he has sent me 5 talents at 10 minas to Kanesh.",akkadian-translation.csv,3 gu urudu saba 5 gu 10 manata a kaniisusebi4lam
